Rank,Ticker,Company,Industry,Employees,"Revenue (in millions, USD)","Valuation (in millions, USD)","Profits (in millions, USD)",Profits (% of Sales)
324,AGCO,AGCO,Construction and Farm Machinery,"25,600","$12,651","$10,119",$890,7.0
325,HSIC,Henry Schein,Wholesalers: Health Care,"22,000","$12,647","$10,705",$538,4.3
326,APH,Amphenol,Network and Other Communications Equipment,"91,000","$12,623","$48,591","$1,902",15.1
327,AES,AES,Utilities: Gas and Electric,"9,100","$12,617","$16,110",-$546,-4.3
329,OVV,Ovintiv,"Mining, Crude-Oil Production","1,744","$12,464","$8,772","$3,637",29.2
330,HRL,Hormel Foods,Food Consumer Products,"20,000","$12,459","$21,796","$1,000",8.0
331,AA,Alcoa,Metals,"13,100","$12,451","$7,591",-$123,-1.0
332,IFF,International Flavors & Fragrances,Chemicals,"24,600","$12,440","$23,456","-$1,871",-15.0
334,DKS,Dick's Sporting Goods,Specialty Retailers: Other,"35,800","$12,368","$12,148","$1,043",8.4
335,ES,Eversource Energy,Utilities: Gas and Electric,"9,626","$12,289","$27,287","$1,405",11.4
336,W,Wayfair,Internet Services and Retailing,"15,745","$12,218","$3,796","-$1,331",-10.9
337,CYH,Community Health Systems,Health Care: Medical Facilities,"58,500","$12,211",$670,$46,0.4
338,ALLY,Ally Financial,Diversified Financials,"11,600","$12,199","$7,668","$1,714",14.1
339,REGN,Regeneron Pharmaceuticals,Pharmaceuticals,"11,851","$12,173","$89,830","$4,338",35.6
340,LSXMA,Liberty Media,Entertainment,"7,283","$12,164","$9,130","$1,815",14.9
341,APA,APA,"Mining, Crude-Oil Production","2,273","$12,132","$11,213","$3,674",30.3
342,QRTEA,Qurate Retail,Internet Services and Retailing,"24,683","$12,106",$406,"-$2,594",-21.4
343,FE,FirstEnergy,Utilities: Gas and Electric,"12,335","$12,053","$22,924",$406,3.4
344,ADI,Analog Devices,Semiconductors and Other Electronic Components,"24,450","$12,014","$99,764","$2,749",22.9
345,R,Ryder System,Transportation and Logistics,"48,300","$12,011","$4,147",$867,7.2
346,CAR,Avis Budget Group,"Automotive Retailing, Services","21,500","$11,994","$7,689","$2,764",23.0
347,UNM,Unum Group,"Insurance: Life, Health (Stock)","10,801","$11,991","$7,805","$1,314",11.0
348,NEM,Newmont,"Mining, Crude-Oil Production","14,600","$11,915","$38,947",-$429,-3.6
349,VFC,VF,Apparel,"27,650","$11,842","$8,904","$1,387",11.7
350,CHK,Chesapeake Energy,"Mining, Crude-Oil Production","1,200","$11,743","$10,244","$4,936",42.0
351,MHK,Mohawk Industries,"Home Equipment, Furnishings","40,900","$11,737","$6,368",$25,0.2
352,MKL,Markel,Insurance: Property and Casualty (Stock),"20,900","$11,675","$17,094",-$214,-1.8
353,EXPE,Expedia Group,Internet Services and Retailing,"16,500","$11,667","$14,879",$352,3.0
354,CZR,Caesars Entertainment,"Hotels, Casinos, Resorts","49,000","$11,647","$10,503",-$899,-7.7
355,URI,United Rentals,Equipment Leasing,"24,600","$11,642","$27,460","$2,105",18.1
356,APO,Apollo Global Management,Securities,"4,258","$11,627","$36,042","-$3,213",-27.6
357,DVA,DaVita,Health Care: Medical Facilities,"70,000","$11,610","$7,332",$560,4.8
358,HES,Hess,"Mining, Crude-Oil Production","1,623","$11,570","$40,520","$2,096",18.1
359,FNF,Fidelity National Financial,Insurance: Property and Casualty (Stock),"21,759","$11,556","$9,508","$1,136",9.8
360,CAG,Conagra Brands,Food Consumer Products,"18,000","$11,536","$17,902",$888,7.7
361,UNVR,Univar Solutions,Wholesalers: Diversified,"9,746","$11,475","$5,521",$545,4.8
363,RJF,Raymond James Financial,Securities,"17,000","$11,308","$20,086","$1,509",13.3
364,SEB,Seaboard,Food Production,"12,614","$11,243","$4,376",$580,5.2
365,CF,CF Industries Holdings,Chemicals,"2,659","$11,186","$14,206","$3,346",29.9
366,SPGI,S&P Global,Financial Data Services,"39,950","$11,181","$113,066","$3,248",29.0
367,WRB,W.R. Berkley,Insurance: Property and Casualty (Stock),"8,186","$11,167","$16,402","$1,381",12.4
368,AAP,Advance Auto Parts,Specialty Retailers: Other,"53,500","$11,155","$7,208",$502,4.5
369,EME,EMCOR Group,Engineering & Construction,"35,500","$11,076","$7,754",$406,3.7
370,WMB,Williams,Pipelines,"5,043","$10,965","$36,394","$2,049",18.7
371,IPG,Interpublic Group,"Advertising, Marketing","58,400","$10,928","$14,341",$938,8.6
372,TA,TravelCenters of America,Specialty Retailers: Other,"17,195","$10,845","$1,306",$164,1.5
373,AMT,American Tower,Real Estate,"6,391","$10,711","$95,150","$1,766",16.5
374,TAP,Molson Coors Beverage,Beverages,"16,600","$10,701","$11,360",-$175,-1.6
375,HII,Huntington Ingalls Industries,Aerospace & Defense,"43,000","$10,676","$8,265",$579,5.4
376,NVR,NVR,Homebuilders,"6,550","$10,580","$18,096","$1,726",16.3
377,EMN,Eastman Chemical,Chemicals,"14,500","$10,580","$10,048",$793,7.5
379,NSIT,Insight Enterprises,Information Technology Services,"13,448","$10,431","$4,833",$281,2.7
380,HSY,Hershey,Food Consumer Products,"18,970","$10,419","$51,909","$1,645",15.8
381,NWSA,News Corp.,"Publishing, Printing","25,500","$10,385","$9,972",$623,6.0
382,TOL,Toll Brothers,Homebuilders,"5,200","$10,276","$6,647","$1,287",12.5
